company,profile,session,vendor
founderhub.io,ryan,1,googleadservice
slidebean.com,ryan,1,googleadservice
www.kanahashisushi.com,ryan,1,googleadservice
www.kanahashisushi.com,ryan,2,googleadservice
slidebean.com,ryan,2,googleadservice
founderhub.io,ryan,2,googleadservice
www.elliman.com,ryan,2,googleadservice
appsamurai.com,ryan,2,googleadservice
slidebean.com,ryan,3,googleadservice
dukecannon.com,ryan,3,googleadservice
founderhub.io,ryan,3,googleadservice
appsamurai.com,ryan,3,googleadservice
wikibuy.com,ryan,3,googleadservice
slidebean.com,ryan,4,googleadservice
wikibuy.com,ryan,4,googleadservice
dukecannon.com,ryan,4,googleadservice
founderhub.io,ryan,4,googleadservice
lp.reasonsecurity.com,ryan,4,googleadservice
appsamurai.com,ryan,4,googleadservice
appsamurai.com,ryan,5,googleadservice
slidebean.com,ryan,5,googleadservice
dukecannon.com,ryan,5,googleadservice
founderhub.io,ryan,5,googleadservice
www.elliman.com,ryan,5,googleadservice
founderhub.io,ryan,6,googleadservice
dukecannon.com,ryan,6,googleadservice
appsamurai.com,ryan,6,googleadservice
www.elliman.com,ryan,6,googleadservice
wikibuy.com,ryan,6,googleadservice
founderhub.io,ryan,7,googleadservice
appsamurai.com,ryan,7,googleadservice
dukecannon.com,ryan,7,googleadservice
wikibuy.com,ryan,7,googleadservice
www.mynamenecklace.com,ryan,7,googleadservice
founderhub.io,ryan,8,googleadservice
appsamurai.com,ryan,8,googleadservice
wikibuy.com,ryan,8,googleadservice
www.mynamenecklace.com,ryan,8,googleadservice
founderhub.io,ryan,9,googleadservice
appsamurai.com,ryan,9,googleadservice
wikibuy.com,ryan,9,googleadservice
www.mynamenecklace.com,ryan,9,googleadservice
founderhub.io,ryan,10,googleadservice
slidebean.com,ryan,10,googleadservice
appsamurai.com,ryan,10,googleadservice
dukecannon.com,ryan,10,googleadservice
www.mynamenecklace.com,ryan,10,googleadservice
founderhub.io,ryan,11,googleadservice
dukecannon.com,ryan,11,googleadservice
wikibuy.com,ryan,11,googleadservice
appsamurai.com,ryan,11,googleadservice
www.mynamenecklace.com,ryan,11,googleadservice
slidebean.com,ryan,12,googleadservice
founderhub.io,ryan,12,googleadservice
lp.reasonsecurity.com,ryan,12,googleadservice
www.energybillcruncher.com,ryan,12,googleadservice
appsamurai.com,ryan,12,googleadservice
founderhub.io,ryan,13,googleadservice
slidebean.com,ryan,13,googleadservice
www.mynamenecklace.com,ryan,13,googleadservice
dukecannon.com,ryan,14,googleadservice
