company,profile,session,vendor
terraceonthepark.com,ryan,1,googleadservice
decentric.xy.company,ryan,1,googleadservice
sann.net,ryan,1,googleadservice
decentric.xy.company,ryan,2,googleadservice
terraceonthepark.com,ryan,2,googleadservice
play.howstuffworks.com,ryan,2,googleadservice
terraceonthepark.com,ryan,3,googleadservice
founderhub.io,ryan,3,googleadservice
skilldistillery.com,ryan,3,googleadservice
founderhub.io,ryan,4,googleadservice
decentric.xy.company,ryan,4,googleadservice
terraceonthepark.com,ryan,4,googleadservice
terraceonthepark.com,ryan,5,googleadservice
decentric.xy.company,ryan,5,googleadservice
terraceonthepark.com,ryan,6,googleadservice
www.worldcampus.psu.edu,ryan,6,googleadservice
skilldistillery.com,ryan,6,googleadservice
terraceonthepark.com,ryan,7,googleadservice
decentric.xy.company,ryan,7,googleadservice
www.opencenter.org,ryan,7,googleadservice
terraceonthepark.com,ryan,8,googleadservice
www.worldcampus.psu.edu,ryan,8,googleadservice
www.skyluxtravel.com,ryan,8,googleadservice
skilldistillery.com,ryan,8,googleadservice
play.howstuffworks.com,ryan,9,googleadservice
skilldistillery.com,ryan,9,googleadservice
decentric.xy.company,ryan,10,googleadservice
skilldistillery.com,ryan,10,googleadservice
foreverspin.com,ryan,10,googleadservice
decentric.xy.company,ryan,11,googleadservice
www.nordstromrack.com,ryan,11,googleadservice
toomics.com,ryan,11,googleadservice
www.thekartrite.com,ryan,13,googleadservice
decentric.xy.company,ryan,13,googleadservice
toomics.com,ryan,13,googleadservice
decentric.xy.company,ryan,15,googleadservice
www.worldcampus.psu.edu,ryan,16,googleadservice
skilldistillery.com,ryan,16,googleadservice
terraceonthepark.com,ryan,16,googleadservice
founderhub.io,ryan,16,googleadservice
terraceonthepark.com,ryan,17,googleadservice
skilldistillery.com,ryan,17,googleadservice
terraceonthepark.com,ryan,18,googleadservice
toomics.com,ryan,18,googleadservice
skilldistillery.com,ryan,18,googleadservice
rmtcenter.com,ryan,18,googleadservice
terraceonthepark.com,ryan,19,googleadservice
www.worldcampus.psu.edu,ryan,19,googleadservice
play.howstuffworks.com,ryan,19,googleadservice
skilldistillery.com,ryan,19,googleadservice
www.thekartrite.com,ryan,20,googleadservice
decentric.xy.company,ryan,20,googleadservice
play.howstuffworks.com,ryan,20,googleadservice
terraceonthepark.com,ryan,21,googleadservice
terraceonthepark.com,ryan,22,googleadservice
play.howstuffworks.com,ryan,22,googleadservice
founderhub.io,ryan,23,googleadservice
terraceonthepark.com,ryan,23,googleadservice
skilldistillery.com,ryan,23,googleadservice
terraceonthepark.com,ryan,24,googleadservice
stuffanswered.com,ryan,24,googleadservice
www.worldcampus.psu.edu,ryan,25,googleadservice
skilldistillery.com,ryan,25,googleadservice
terraceonthepark.com,ryan,26,googleadservice
play.howstuffworks.com,ryan,26,googleadservice
decentric.xy.company,ryan,27,googleadservice
profitablenews.com,ryan,27,googleadservice
play.howstuffworks.com,ryan,27,googleadservice
stuffanswered.com,ryan,27,googleadservice
www.dumbenergy.com,ryan,27,googleadservice
terraceonthepark.com,ryan,28,googleadservice
toomics.com,ryan,28,googleadservice
www.hobie.com,ryan,29,googleadservice
www.worldcampus.psu.edu,ryan,29,googleadservice
toomics.com,ryan,29,googleadservice
skilldistillery.com,ryan,29,googleadservice
stuffanswered.com,ryan,30,googleadservice
terraceonthepark.com,ryan,31,googleadservice
www.dumbenergy.com,ryan,31,googleadservice
play.howstuffworks.com,ryan,31,googleadservice
promos.symphonytalent.com,ryan,32,googleadservice
skilldistillery.com,ryan,32,googleadservice
www.worldcampus.psu.edu,ryan,32,googleadservice
www.eventbrite.com,ryan,33,googleadservice
polls.familysurvival.com,ryan,33,googleadservice
skilldistillery.com,ryan,33,googleadservice
profitablenews.com,ryan,34,googleadservice
www.energybillcruncher.com,ryan,34,googleadservice
decentric.xy.company,ryan,34,googleadservice
polls.familysurvival.com,ryan,34,googleadservice
www.eventbrite.com,ryan,36,googleadservice
skilldistillery.com,ryan,36,googleadservice
polls.familysurvival.com,ryan,37,googleadservice
www.eventbrite.com,ryan,37,googleadservice
skilldistillery.com,ryan,37,googleadservice
terraceonthepark.com,ryan,38,googleadservice
polls.familysurvival.com,ryan,38,googleadservice
skilldistillery.com,ryan,38,googleadservice
terraceonthepark.com,ryan,39,googleadservice
terraceonthepark.com,ryan,40,googleadservice
decentric.xy.company,ryan,41,googleadservice
stuffanswered.com,ryan,41,googleadservice
